TimeStamp, ElapsedTime, frame #, FPS, logSize, QRDetection Status, isReplayed, PETOutputs
2026-12-2--19-54-07,0,70,7,13923,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"94.129"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"97.871"|"faces":[]}
2026-12-2--19-54-07,0,71,8,14121,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"85.032"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"91.514"|"faces":[]}
2026-12-2--19-54-07,0,72,8,14323,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"95.62"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"100.232"|"faces":[]}
2026-12-2--19-54-07,0,73,8,14521,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"90.899"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"95.237"|"faces":[]}
2026-12-2--19-54-07,0,74,7,14720,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"91.617"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"100.311"|"faces":[]}
2026-12-2--19-54-07,0,75,7,14920,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"106.176"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"111.755"|"faces":[]}
2026-12-2--19-54-07,0,76,7,15118,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"94.108"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"97.656"|"faces":[]}
2026-12-2--19-54-07,0,77,7,15316,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"88.963"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"95.335"|"faces":[]}
2026-12-2--19-54-07,0,78,7,15514,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"93.926"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"97.513"|"faces":[]}
2026-12-2--19-54-07,0,79,8,15716,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"90.679"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"98.729"|"faces":[]}
2026-12-2--19-54-07,0,80,7,15914,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"87.197"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"95.586"|"faces":[]}
2026-12-2--19-54-07,0,81,8,16112,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"92.565"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"99.437"|"faces":[]}
2026-12-2--19-54-07,0,82,8,16310,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"82.395"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"90.086"|"faces":[]}
2026-12-2--19-54-07,0,83,8,16508,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"78.885"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"87.867"|"faces":[]}
2026-12-2--19-54-07,0,84,8,16708,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"108.302"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"115.535"|"faces":[]}
2026-12-2--19-54-07,0,85,7,16906,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"93.883"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"97.348"|"faces":[]}
2026-12-2--19-54-07,0,86,7,17104,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"89.381"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"99.569"|"faces":[]}
2026-12-2--19-54-07,0,87,7,17303,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"93.517"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"100.648"|"faces":[]}
2026-12-2--19-54-07,0,88,7,17502,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"95.357"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"102.433"|"faces":[]}
