TimeStamp,FPS,GT # Faces,# Faces,frame #,QRDetection Status,Hardcoded Eye Gaze,DetectedFaces Info
19-51-40.9501,35,0,1,208,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-40.9734,33,0,1,209,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-40.9944,35,0,1,210,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.0157,36,0,1,211,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.0502,38,0,1,212,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.0721,35,0,1,213,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.0948,37,0,1,214,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.1131,38,0,1,215,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.1493,41,0,1,216,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.1672,37,0,1,217,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.1885,39,0,1,218,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.2059,41,0,1,219,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.2468,43,0,1,220,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.2888,37,0,1,221,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.3091,33,0,1,222,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.3273,36,0,1,223,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.3632,38,0,1,224,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.3827,35,0,1,225,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.3979,38,0,1,226,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.4150,41,0,1,227,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.4519,44,0,1,228,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.4737,39,0,1,229,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.4944,40,0,1,230,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
19-51-41.5152,41,0,1,231,TRUE,FALSE,"{""FaceCube-1"": {""3D Position"": ""(-0.3540535 | 0.7572927 | 0.4485271)"" |""isSubject"": ""False"" |""2D Position"": ""(148.635406494141 | 919.808044433594)"" } |}"
