TimeStamp, ElapsedTime, frame #, FPS, logSize, QRDetection Status, isReplayed, PETOutputs
2026-12-2--13-34-20,0,44,3,8748,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"94.592"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"100.221"|"faces":[]}
2026-12-2--13-34-20,0,45,3,8947,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"107.79"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"111.601"|"faces":[]}
2026-12-2--13-34-20,0,46,3,9143,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"98.14"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"103.3"|"faces":[]}
2026-12-2--13-34-20,0,47,3,9343,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"105.108"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"108.674"|"faces":[]}
2026-12-2--13-34-20,0,48,3,9543,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"104.288"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"111.328"|"faces":[]}
2026-12-2--13-34-20,0,49,3,9741,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"99.44"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"104.396"|"faces":[]}
2026-12-2--13-34-20,0,50,3,9943,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"93.136"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"98.394"|"faces":[]}
2026-12-2--13-34-20,0,51,3,10143,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"106.397"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"110.242"|"faces":[]}
2026-12-2--13-34-20,0,52,4,10341,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"94.674"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"98.546"|"faces":[]}
2026-12-2--13-34-20,0,53,4,10541,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"102.839"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"107.399"|"faces":[]}
